"delta","year","area","x","effort","vessel","year_scaled"
2.40840327334333,"2011","A",-0.228650762233883,-0.192424318380654,"2",-1
4.50569075249449,"2012","A",0.272244169376791,-0.167320499382913,"7",0
0,"2013","A",0.783327186480165,-0.191624210961163,"9",1
0,"2011","B",0.00378753617405891,0.13021876513958,"3",-1
4.05008970155844,"2012","B",-0.563945394940674,-0.0466462312266231,"6",0
0,"2013","B",-0.269508038181812,-0.204076920263469,"2",1
2.32621412387692,"2011","A",0.24513470986858,-0.0172569908201694,"10",-1
0.523547120122639,"2012","A",-0.820545009337366,0.132315789163113,"11",0
0.603629832001968,"2013","A",-0.475031706970185,-0.172640592604876,"1",1
4.45044241500471,"2011","B",-0.203583251684904,-0.282440947368741,"4",-1
1.31039754587723,"2012","B",-0.595873390324414,0.106740526109934,"10",0
7.00145675186946,"2013","B",0.174203330185264,0.0680114224553108,"6",1
0.959947429932692,"2011","A",-0.205028557684273,0.0210041435435414,"9",-1
1.52099354423323,"2012","A",-0.947167681995779,-0.202873319759965,"3",0
3.86922961987289,"2013","A",-0.185371572617441,0.396205808408558,"6",1
0,"2011","B",0.925930527038872,-0.199579122290015,"2",-1
0,"2012","B",0.779070923570544,-0.0946234915405512,"8",0
0,"2013","B",-0.158370499033481,-0.377948281355202,"10",1
0.763832598792513,"2011","A",0.160403960384429,-0.332166018150747,"10",-1
0,"2012","A",-0.136687042657286,0.192991060391068,"10",0
0,"2013","A",0.617100385017693,0.21337572094053,"1",1
0,"2011","B",0.587961923331022,0.286238731443882,"9",-1
0,"2012","B",-0.690107281785458,0.0340853856876493,"12",0
7.01729876289974,"2013","B",-0.241241736803204,-0.368055506981909,"4",1
0.418426346528383,"2011","A",0.00831425515934825,-0.236291891895235,"1",-1
0,"2012","A",0.58078698348254,-0.225245744362473,"1",0
4.35106490686818,"2013","A",-0.157999770715833,0.11037818659097,"5",1
6.10419755688062,"2011","B",0.0051296972669661,-0.0918463278561831,"7",-1
0,"2012","B",-0.129847252275795,0.058005920983851,"10",0
1.51915098057179,"2013","B",-0.731524579226971,-0.246680767275393,"8",1
1.69735077857492,"2011","A",0.102404583711177,-0.0301023805513978,"8",-1
1.60105789313195,"2012","A",0.677590544801205,-0.0828354274854064,"6",0
2.19365342292145,"2013","A",-0.130872911307961,0.0578387385234237,"1",1
0,"2011","B",-0.107722530141473,0.286846115253866,"8",-1
0,"2012","B",-0.229065853171051,0.396513443253934,"11",0
0.726876152243013,"2013","B",0.394856502301991,-0.00509668309241533,"2",1
3.33533896276824,"2011","A",-0.984255057293922,0.0309678997844458,"5",-1
1.59157354432773,"2012","A",-0.827614148147404,-0.258662430755794,"8",0
0.833125997441389,"2013","A",0.0454048658721149,-0.313012424297631,"1",1
0,"2011","B",-0.4962024143897,-0.29958919249475,"8",-1
9.01342802437006,"2012","B",-0.849290312733501,0.225719417072833,"8",0
25.8950431726668,"2013","B",-0.458391988649964,0.0707161003723741,"4",1
0,"2011","A",0.831581796519458,0.25965133253485,"9",-1
0,"2012","A",-0.199963218066841,0.323319317772985,"12",0
1.65074766137015,"2013","A",-0.110215660184622,0.0118612429127097,"2",1
0,"2011","B",-0.766451073344797,0.29342791121453,"8",-1
0,"2012","B",-0.0178277879022062,-0.0888951767235994,"9",0
5.93091131004892,"2013","B",0.474912155885249,0.257858787477016,"11",1
0,"2011","A",-0.826720783952624,-0.022768728248775,"5",-1
3.37945560988932,"2012","A",-0.493607584852725,0.131925300322473,"7",0
0,"2013","A",0.583633891772479,-0.302826151065528,"8",1
1.47111991421424,"2011","B",0.436054455582052,-0.375422067567706,"10",-1
0.630342495776973,"2012","B",-0.0778409647755325,0.177897362411022,"12",0
0,"2013","B",-0.0412925183773041,0.382698080316186,"10",1
3.97815751421881,"2011","A",-0.330865991767496,0.268479085713625,"5",-1
2.26054589099683,"2012","A",-0.843994927126914,0.0576098898425698,"6",0
2.11716633714268,"2013","A",0.1315330080688,0.338105118088424,"11",1
6.28510973333606,"2011","B",0.882627861574292,0.00935333538800478,"2",-1
1.90715031073093,"2012","B",-0.77694307686761,0.0617150833830237,"11",0
17.9831404408151,"2013","B",-0.715897169429809,0.225657572411001,"4",1
2.68956172123445,"2011","A",0.291833786293864,0.251187010109425,"3",-1
8.77669757743231,"2012","A",-0.977711776271462,0.287571320682764,"7",0
1.33015645887999,"2013","A",-0.0244877617806196,-0.00380303729325533,"9",1
