"vess","year","week","adfg","towDur","obstot","nrswt","yfswt","fhswt","pflat","lat","long"
"77812",2017,13,645600,19.166,217.42,13.14994,96.65235,2.13965,0.514864961825039,56.25,-164.5
"77812",2017,14,645600,18.332,146.99,9.54494,100.57011,1.61235,0.760102047758351,56.25,-164.5
"77812",2017,14,645630,22.5,101.38,9.58546,58.54919,0.70633,0.679039060958769,56.75,-164.5
"77812",2017,15,645600,71.459,192.11,16.09146,124.09368,3.9856,0.750459320181146,56.25,-164.5
"77812",2017,15,645630,69.584,200.12,29.30864,112.37218,1.57376,0.715843393963622,56.75,-164.5
"77812",2017,16,645630,12.917,25.36,4.03106,10.38669,0.11385,0.57301261829653,56.75,-164.5
"77812",2017,17,635700,18.959,47.86,12.02577,23.39708,0.19415,0.744191391558713,57.25,-163.5
"77812",2017,17,645630,41.25,117.44,56.64698,19.93391,1.64421,0.666085660762943,56.75,-164.5
"77812",2017,17,645700,15,30.32,11.48489,3.76901,0.25759,0.511592678100264,57.25,-164.5
"77812",2017,17,655700,7.708,7.06,1.09572,2.78902,0.07197,0.560440509915014,57.25,-165.5
"77812",2017,17,665700,24.584,142.82,17.55263,74.0484,0.84953,0.647322223778182,57.25,-166.5
"77812",2017,17,665730,20,89.58,2.68343,45.47855,0.22961,0.540205291359679,57.75,-166.5
"77812",2017,42,645700,25.417,92.36,0.36051,75.56326,1.43498,0.837578497184929,57.25,-164.5
"77812",2017,42,655630,5.833,9.93,0.03274,5.59952,0.80747,0.648512588116818,56.75,-165.5
"77812",2017,42,655700,63.334,294.3,1.34042,223.81021,1.78196,0.771092728508325,57.25,-165.5
"77812",2017,43,635700,43.958,113.84,1.66935,75.72596,2.55119,0.702270730850316,57.25,-163.5
"77812",2017,43,645600,7.5,5.76,0.35804,3.36941,0.38961,0.714767361111111,56.25,-164.5
"77812",2017,43,645630,101.041,347.22,1.68621,286.18973,6.57568,0.848026092966995,56.75,-164.5
"77812",2017,43,645700,37.291,86.96,0.49365,60.48361,2.47692,0.72969388224471,57.25,-164.5
"77812",2017,44,635700,27.292,58.72,0.50576,47.50865,1.1903,0.837954870572207,57.25,-163.5
"77812",2017,44,645700,104.167,215.29,0.6654,114.4608,3.33454,0.550238004552,57.25,-164.5
"77812",2017,44,655700,5.625,7.05,0.01549,6.34587,0.07403,0.912821276595745,57.25,-165.5
"77812",2017,45,675730,16.041,24.21,0.19895,7.11471,0.4114,0.319085501858736,57.75,-167.5
"77812",2017,45,685800,155.417,334.34,3.26521,225.3022,2.832,0.692108063647784,58.25,-168.5
"77812",2017,45,685830,7.5,17.72,0.29069,9.95777,0.07143,0.582386568848759,58.75,-168.5
"77812",2017,45,695600,6.875,15.24,5.78703,0.09843,3.03353,0.585235564304462,56.25,-169.5
